[32m[I 2023-04-26 02:21:21,331][39m Trial 101 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,345][39m Trial 102 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,359][39m Trial 103 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,372][39m Trial 104 finished with value: 0.6122448979591836 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,385][39m Trial 105 finished with value: 0.6736842105263158 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,398][39m Trial 106 finished with value: 0.6105263157894738 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,408][39m Trial 107 finished with value: 0.5918367346938775 and parameters: {'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,415][39m Trial 108 finished with value: 0.627450980392157 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,422][39m Trial 109 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,431][39m Trial 110 finished with value: 0.64 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,438][39m Trial 111 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,446][39m Trial 112 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,453][39m Trial 113 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
