
[32m[I 2023-04-20 22:26:14,110][39m Trial 71 finished with value: 0.8545454545454546 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09339451361174522, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.46981085644258}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:15,795][39m Trial 72 finished with value: 0.875 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08896186021963111, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.150871330262234}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:17,697][39m Trial 73 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08279787871534426, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.037854782731335}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:19,328][39m Trial 74 finished with value: 0.888888888888889 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08915794683441833, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.837328887963789}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:20,454][39m Trial 75 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09607124298813736, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.5620180495187146}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:22,200][39m Trial 76 finished with value: 0.8807339449541284 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08858799109237717, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.738992624704375}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:28,326][39m Trial 77 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0804268667033334, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.735424697631512}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:29,043][39m Trial 78 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08923175792749835, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:30,177][39m Trial 79 finished with value: 0.875 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08672179581687858, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.242452242137174}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:31,138][39m Trial 80 finished with value: 0.8807339449541284 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09266409636460574, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.557712284752723}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:32,237][39m Trial 81 finished with value: 0.8807339449541284 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0926582672684535, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.573035115611933}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:33,510][39m Trial 82 finished with value: 0.8807339449541284 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09302822522361642, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.551338623201236}. Best is trial 53 with value: 0.888888888888889.
