[32m[I 2023-04-26 13:01:06,031][39m A new study created in memory with name: no-name-ef779f35-aa5f-4ca8-8cd5-80751089e0e7
[32m[I 2023-04-26 13:03:16,551][39m Trial 71 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.058609883459741226, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.802096730277412}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:18,063][39m Trial 72 finished with value: 0.7578947368421053 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07965821940696903, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.7315724665036765}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:19,469][39m Trial 73 finished with value: 0.7346938775510203 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0739952668902924, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.436298971720806}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:20,833][39m Trial 74 finished with value: 0.7346938775510203 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05012385398022332, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.6754106049758954}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:22,689][39m Trial 75 finished with value: 0.7311827956989247 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08586348675550952, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.884576040022165}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:24,310][39m Trial 76 finished with value: 0.7311827956989247 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09303633932938471, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.664211534293876}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:25,673][39m Trial 77 finished with value: 0.7272727272727273 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04553390259654628, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.47587146867803}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:27,084][39m Trial 78 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05360111810360499, 'depth': 2, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.247108539304026}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:30,453][39m Trial 79 finished with value: 0.6728971962616822 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03310526511955095, 'depth': 1, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:32,418][39m Trial 80 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06825995554744836, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7469480308207377}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:33,824][39m Trial 81 finished with value: 0.7446808510638298 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07806367040841297, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.376827696439184}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:35,079][39m Trial 82 finished with value: 0.7200000000000001 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.02826027118382954, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.832977788952105}. Best is trial 28 with value: 0.7789473684210526.
