
[32m[I 2023-04-26 14:26:22,758][39m Trial 75 finished with value: 0.8641975308641976 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09096848742750299, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.931504489332162}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:26,019][39m Trial 76 finished with value: 0.8571428571428572 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0884900490941089, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.1597668462542986}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:30,810][39m Trial 77 finished with value: 0.8292682926829268 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09802904493541038, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.590611035277317}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:33,272][39m Trial 78 finished with value: 0.8604651162790697 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09210650275362577, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.21285060288291305}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:36,573][39m Trial 79 finished with value: 0.8837209302325582 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0858355135242041, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.959913302414633}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:45,088][39m Trial 80 finished with value: 0.8 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08175596489047712, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.030563129599258}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:48,363][39m Trial 81 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08565043677011282, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.555239636899222}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:52,514][39m Trial 82 finished with value: 0.8837209302325582 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08897250776933995, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.173851183674842}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:56,560][39m Trial 83 finished with value: 0.8735632183908046 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08873597111961168, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.172531138179668}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:27:00,784][39m Trial 84 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0887594841601552, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.211560887835075}. Best is trial 24 with value: 0.8837209302325582.
